,1
s,0.10783595369187934
c,0.08997843699625266
p,0.0736282370674315
d,0.06020893085184333
a,0.06004145121108716
m,0.059329662737873434
b,0.05826198002805285
r,0.053279460715556774
t,0.0474176732890908
f,0.04251889379697281
e,0.041597755772813876
i,0.038918081520715145
h,0.038771536835053494
g,0.03644775681956163
l,0.03598718780748216
w,0.029288002177235335
n,0.024410157640211864
o,0.02384491385265979
u,0.022693491322461116
k,0.015198777398622482
v,0.01517784244352796
j,0.01216320890991689
q,0.004521950300416607
y,0.004459145435133043
z,0.003077438398894635
x,0.0009420729792534596
