,The Online Plain Text English Dictionary,Webster's English Dictionary,WordNet,Dictionary Average,Open American National Corpus
e,0.1145314111683281,0.11625304093213999,0.10965793632077137,0.11348079614041316,0.12041122207831717
t,0.08649709785153274,0.08495710312130753,0.08572632928659889,0.08572684341981306,0.09196025762267382
a,0.0868671507000121,0.08426622667358923,0.08663363190767967,0.08592233642709367,0.08192154047056165
o,0.09174942565964567,0.08619314092794354,0.0912654647437029,0.08973601044376404,0.07507748683040112
i,0.07454060410609156,0.07308010020531212,0.08003538833258254,0.07588536421466208,0.0747788379966216
n,0.0719064738623303,0.07159409484427649,0.07835140642497349,0.07395065837719343,0.07070816649125782
s,0.06387182006635851,0.06701426270329153,0.05874943337715687,0.0632118387156023,0.07009393181158925
r,0.06912032839653078,0.06804612374968394,0.07286098994129717,0.07000914736250395,0.061551460324191565
h,0.038880321132975015,0.04308349186043543,0.03497528041652604,0.03897969780331217,0.04902793342081979
l,0.04172179446494352,0.04324633145170806,0.04094794412992856,0.04197202334886005,0.0426994938834875
d,0.03275431502792148,0.03447764527929217,0.030044073019150085,0.032425344442121244,0.035997582509512065
c,0.03629257026420748,0.03570772400997637,0.03739145906970767,0.03646391778129717,0.03175818406072798
u,0.026795274672845346,0.02716171909681234,0.025613470725545547,0.026523488165067746,0.027666073299529345
m,0.02327153345273385,0.023892319121188096,0.024657449131037092,0.023940433901653013,0.025360710119607464
p,0.024502278373155575,0.02349531920856697,0.024301588803391404,0.024099728795037984,0.02168795120253858
g,0.02265168674693536,0.02162071936835802,0.027655431177036276,0.023975945764109885,0.02068030617830043
f,0.029564396179823642,0.02574107538990077,0.026927470863935675,0.027410980811220027,0.02061684598102926
y,0.014684692274483836,0.01580585305458156,0.015506048919497898,0.01533219808285443,0.018775642689931975
w,0.012958397373246805,0.014667920456246928,0.01164383464921633,0.013090050826236689,0.018094731924617004
b,0.015583469997891649,0.017062277173684293,0.015178431474998694,0.015941392882191544,0.016375946784336737
v,0.00961297120899354,0.009782105446915329,0.010490818944761157,0.009961965200223341,0.010408115530146702
k,0.005651190433058956,0.006546076296621223,0.005195278354795571,0.005797515028158583,0.00801206429804339
j,0.0011493354763150898,0.0014391482059198212,0.0010520473972064964,0.0012135103598138023,0.0021207711871837846
x,0.002436390414376253,0.002460972913867077,0.0025157348162729845,0.0024710327148387717,0.0020418747257115208
z,0.0009171112175229791,0.0009700748378394298,0.0010598141900717793,0.0009823334151447295,0.0011208442950461812
q,0.0014879594777398642,0.0014351336705417596,0.001563243582157841,0.001495445576813155,0.001052024283816299
