,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
s,0.11139210387463115,0.012574233086382919,0.0672782798797614,0.046518193711654984,0.04805833266556109,0.05080710024778071,0.05264942504367282,0.0592465961570153,0.0682438199043297,0.0750656823177811,0.08051891429666062,0.09613050852835776,0.12086688509482943,0.14157073052371671,0.13208372539187507,0.17420597118605166,0.14777461557606777,0.1408775598260812,0.16211832061068704,0.14285714285714285,0.1925925925925926,0.041666666666666664,0.5576923076923077
c,0.09233554701567975,0.019302026637141853,0.05297082510312082,0.04849715460055455,0.03705622968022976,0.04189830852656984,0.03470644189285306,0.03799461391769021,0.03718514671605641,0.03972521805191881,0.04406772684847793,0.04790661877404249,0.03840361863010521,0.0415982180599026,0.03610676557412905,0.03705687840091321,0.04505686552466698,0.02857711839091905,0.08053435114503817,0.032467532467532464,0.10925925925925926,0.0,0.038461538461538464
p,0.09131790147190662,0.02271859820316556,0.04366459025142749,0.03732679584254059,0.025216749250157294,0.02212220231353655,0.01593061266638492,0.015531266468574216,0.014788903640202931,0.012576737253989046,0.01177770411527167,0.011280877503803452,0.01228656518032847,0.012647795579714235,0.01442531950927885,0.016002445509220423,0.019489021869690835,0.012280527066945468,0.04026717557251908,0.05844155844155845,0.0,0.0,0.0
a,0.07195981974992513,0.13416343915566234,0.0815067164303993,0.07334925821424487,0.07981520815915258,0.07963947145244225,0.09260486949714283,0.08447168194817636,0.0811394233596971,0.07037837567649638,0.06764117101737982,0.06514899929437948,0.06923339618702767,0.05907655231139468,0.06006103664770862,0.04857098171758431,0.0637884018136369,0.03861727903348933,0.04303435114503817,0.07142857142857142,0.046296296296296294,0.027777777777777776,0.0
d,0.0607343301810385,0.007695202295279753,0.031640284641405836,0.034446998398130334,0.026779952310466863,0.03071755680017807,0.03252070785748347,0.037206676031094066,0.0343911687987514,0.03507314327525864,0.03385348331238085,0.038931881080899455,0.03680718463545325,0.030920426157910078,0.033126846310239585,0.023288194324549948,0.008467606670201598,0.022436854857446314,0.0125,0.006493506493506494,0.0,0.0,0.038461538461538464
m,0.054931191364488235,0.019783219599807014,0.04201096040372017,0.03203776965672813,0.029262751982251922,0.02824598652094744,0.022554408088201524,0.024380721806375898,0.025342209339708394,0.021778024859741354,0.02155936426910067,0.01934722257848167,0.02165869287743899,0.021286435768819327,0.02653151800883575,0.02951114189437594,0.04560063195939877,0.028344784095057918,0.015267175572519083,0.025974025974025976,0.0,0.0,0.0
t,0.052033246875351935,0.021817266629291412,0.07243085488454526,0.08345031980737705,0.06697479516911348,0.07603157516523226,0.08499585513003402,0.09238334449251143,0.08871443304762172,0.09127148349773567,0.07970795214517182,0.07482567266839793,0.07472711723123543,0.08608405806832628,0.08410789972327337,0.08593151761721282,0.06769215785999502,0.07935875734342328,0.050667938931297715,0.025974025974025976,0.046296296296296294,0.05555555555555555,0.038461538461538464
b,0.049725504133386,0.007949449037096505,0.0267759234440081,0.019179474669251788,0.016106883699243707,0.015660522254773622,0.011676198066241768,0.01258939615842971,0.01128145633588511,0.011179223572307693,0.00858110867732496,0.006302884681234667,0.00404339032670436,0.004479743536137049,0.002074986764487716,0.0014527827823151498,0.0009225092250922509,0.004016064257028112,0.0,0.0,0.0,0.0,0.0
i,0.04892558398290599,0.09439984949627447,0.05878400834300514,0.08644815205337272,0.10083222387645718,0.10163874486090516,0.11248719311824834,0.10046289701484123,0.10104973742892998,0.09666521874967243,0.09758197000818848,0.08403497719759577,0.0828628414388489,0.06767599271780582,0.07442740591572358,0.05455577649995633,0.04765936955557239,0.0571542367818381,0.022900763358778626,0.07142857142857142,0.018518518518518517,0.05555555555555555,0.019230769230769232
e,0.04725941661690605,0.15200924045949316,0.06990708635730578,0.11213326012332343,0.11997549891601558,0.11335932996842595,0.12314906349939178,0.12384719523949739,0.13360020421446206,0.1390434161548112,0.13756361360101008,0.13857769675816706,0.12702742885834917,0.11913987092875444,0.12008843153469598,0.11689544229390389,0.10856391555117897,0.1198679013574961,0.10896946564885496,0.045454545454545456,0.07407407407407407,0.06944444444444445,0.057692307692307696
