Word,The Online Plain Text English Dictionary,Webster's English Dictionary,WordNet,Average
one,0.00737241778357244,0.0055562778075061835,0.0026130354126865465,0.005180577001255056
relat,0.0008559678823751531,0.0006552501848513586,0.009600742032837721,0.0037039867000214105
use,0.003422853731780785,0.0032591296838200214,0.003834759254644627,0.003505580890081811
act,0.0028747696596535316,0.0019692328407446055,0.004758839327740399,0.0032009472760461785
see,0.004562787177987885,0.0048101979911851726,0.0001349779882050004,0.0031693210524593525
manner,0.001589800038370974,0.0010206000443411108,0.005326439073012708,0.0026456130519082644
state,0.0028086128078647263,0.0020995283823735957,0.0024676745023119308,0.0024586052308500843
make,0.002086994224506839,0.0017161867108994398,0.003336378990503087,0.0023798533086364553
person,0.0016244051608451182,0.0013003437016470053,0.003758617825400781,0.002227788895964301
form,0.0024523836059250075,0.002037137421459937,0.0020731234598665447,0.002187548162417163
also,0.0030508486651837355,0.0030786311829442267,4.153168867846167e-05,0.002057003845602141
ani,0.0023745220803581832,0.0020272709439201025,0.0017201041060996207,0.0020406323767926354
pertain,0.003071204619580291,0.0020121810370944734,0.0008860093584738489,0.001989798338382871
someth,0.0007516436160928068,0.000513927403619024,0.0044958052994434755,0.001920458773051769
part,0.0022788490946943733,0.0018244277733217413,0.001560899299498851,0.0018880587225049887
qualiti,0.0016819107320153871,0.0010565836683099187,0.002433064761746546,0.0017238530540239505
call,0.0023908068438754275,0.002418737949838828,0.00017304870282692361,0.0016608644988470598
especi,0.0012015102082566804,0.0008311056374731139,0.0028622255447573164,0.0016316137968290366
caus,0.0011032927282933007,0.0008398113529494383,0.002235789240523853,0.001392964440588864
like,0.0017317828202869478,0.001476489344784638,0.0008894703325303874,0.0013659141658673244
bodi,0.0013445107878924819,0.0011331939645015745,0.0015159066367638509,0.001331203796385969
place,0.0014284790997782727,0.0011845576858118892,0.0012217238419580806,0.001278253542516081
small,0.0013913294830045593,0.0011787538754943396,0.0010936678018661572,0.0012212503867883521
two,0.0011577449063040865,0.0011990672116057634,0.0012355677381842346,0.0011974599520313616
without,0.0009480785760195661,0.0008786968820770212,0.001685494365534236,0.001170756607876941
hi,0.0008060957941035925,0.002185424775073331,0.0004360827311238475,0.0011425344334335904
usual,0.0009740324178751742,0.0008679598329895542,0.00154013345515962,0.0011273752353414496
made,0.0011043105260131285,0.001126229392120515,0.0010313702688484647,0.0010873033956607027
time,0.0009185624421445608,0.0009718480376736936,0.0013463189079934658,0.00107890979593724
water,0.001098203739694162,0.00103568995116674,0.0010694409834703879,0.0010677782247770966
plant,0.0011709762766618473,0.0009956436599756473,0.0009794556580003876,0.001048691864879294
anoth,0.0009938794734118156,0.0007945416324725508,0.0012944042971453887,0.0010276084676765851
produc,0.0009582565532178438,0.0007814830592580641,0.0012113409197884652,0.000983693510754791
resembl,0.001031537989045443,0.0007457896258051336,0.0011490433867707727,0.0009754570005404498
thing,0.0008620746686941197,0.0008345879236636436,0.0010209873466788494,0.0009058833130122043
ha,0.0008534233880755837,0.0010284351882698028,0.0008306337735692333,0.0009041641166382066
color,0.0010417159662437208,0.0008853712639422033,0.0007717972146080793,0.0008996281482646679
consist,0.000808131389543248,0.0006993591432647362,0.001180192153279619,0.0008958942286958677
organ,0.0006157676204957998,0.0005110254984602491,0.0014882188443115431,0.0008716706544225307
give,0.000777597457948415,0.0007156098121538753,0.0011178946202619266,0.0008703672967880722
contain,0.0008462988040367893,0.0006894926657249017,0.0010590580613007725,0.0008649498436874879
anim,0.0008488432983363587,0.0006314545625494049,0.0010625190353573109,0.0008476056320810248
process,0.0007338321559958209,0.0005545540758418717,0.0012424896862973116,0.0008436253060450013
characterist,0.0002117019257241758,0.0001567028785738413,0.002145803915053853,0.00083806957311729
substanc,0.0009200891387243025,0.0006773046640580474,0.0008894703325303874,0.0008289547117709124
kind,0.0010824278750368316,0.000981134134181773,0.0004222388348976936,0.0008286002813720994
natur,0.0008091491872630758,0.0007672637239800674,0.0008929313065869258,0.0008231147392766897
word,0.0007496080206531513,0.0009016219328313425,0.0008167898773430794,0.0008226732769425244
order,0.0007989712100647981,0.0006709204727087428,0.0009690727358307723,0.0008129881395347711
power,0.0008513877926359281,0.0007840947739009615,0.0007891020848907717,0.0008081948838092205
henc,0.0013842048989657649,0.001005800328031359,1.730487028269236e-05,0.0008024366990932721
sound,0.0006859956631639158,0.0005316290250875505,0.0011490433867707727,0.0007888893583407464
cover,0.0008284873439398033,0.0006035962730251665,0.000931002021208849,0.0007876952127246063
certain,0.0009480785760195661,0.0007829340118374515,0.000622975330176925,0.0007846626393446474
upon,0.0010300112924657016,0.0011575699678352833,0.00016612675471384668,0.0007845693383382771
mean,0.0007582593012716873,0.0007013904768758785,0.0008860093584738489,0.0007818863788738049
larg,0.000865128061853603,0.000801216014337733,0.0006645070188553867,0.0007769503650155743
take,0.0007083872130001268,0.0006877515226296368,0.0009033142287565413,0.0007664843214621016
action,0.0007048249209807296,0.0005980826532234943,0.0009863776061134646,0.0007630950601058962
point,0.0007363766502953903,0.0007527541981861932,0.0007994850070603871,0.0007628719518473235
line,0.0007760707613686733,0.0008157255401316072,0.000695655785364233,0.0007624840289548379
work,0.0006310345862932163,0.0006389995159622195,0.0010002215023396184,0.0007567518681983514
capabl,0.0006620774167479632,0.0004190351049270867,0.001180192153279619,0.0007537682249848897
speci,0.0010885346613557982,0.0010324978554920876,0.00011421214386576958,0.0007450815535712184
peopl,0.00023154898126081727,0.0002756809900836097,0.0017270260542126977,0.0007447520085190415
law,0.000527219218870784,0.0009512445110463922,0.0007094996815903868,0.0007293211371691877
express,0.000570984520823378,0.0005118960700078816,0.0010867458537530802,0.0007232088148614466
wa,0.0005658955322242391,0.001404522096847022,0.00019381454716615445,0.0007214107254124719
surfac,0.0006386680691919245,0.0005327897871510605,0.0009794556580003876,0.0007169711714477908
good,0.0006534261361294272,0.0007446288637416237,0.0007510313702688484,0.0007163621233799664
one',0.0007633482898708262,0.0006619245667165407,0.0006645070188553867,0.0006965932918142513
light,0.0006127142273363165,0.00063087418151765,0.0008340947476257718,0.0006925610521599127
side,0.0007857398397070371,0.0007217038129873024,0.000564138771215771,0.0006905274746367036
move,0.0005246747245712146,0.0004271604393716563,0.0010832848796965419,0.0006783733478798043
genu,0.0010941325488148508,0.0008519993546162927,8.652435141346181e-05,0.0006775520849482018
note,0.00038269194265524087,0.0014259961950219557,0.0002007364952792314,0.000669808210985476
becom,0.0005485929709871671,0.0004376072979432457,0.0010140653985657724,0.0006667552224987284
name,0.0008060957941035925,0.0008949475509661603,0.00028033889857961624,0.000660460747883123
gener,0.0007124584038794378,0.0007423073396146038,0.0005260680565938478,0.0006602779333626298
properti,0.0003847275380948964,0.0003174684243699674,0.0012632555306365423,0.0006551504977004687
forc,0.0005195857359720757,0.0005014492114362921,0.000924080073095772,0.00064837167350138
mark,0.0005073721633341425,0.0004387680600067556,0.0009759946839438491,0.0006407116357615823
condit,0.0006086430364570055,0.00045472853838001727,0.0008444776697953872,0.0006359497482108033
end,0.0006564795292889105,0.0006569913279466235,0.0005918265636680787,0.0006350991403012042
posit,0.0004234038514483516,0.0003728948129025668,0.0011005897499792342,0.0006322961381100509
unit,0.0006697108996466715,0.0006645362813594381,0.0005537558490461555,0.000629334343350755
direct,0.0005862514866207945,0.0005034805450474345,0.0007891020848907717,0.0006262780388530003
long,0.0006340879794526996,0.0006546698038196036,0.0005814436414984634,0.0006234004749235888
languag,0.0003409622361423024,0.00029831585032205344,0.0012148018938450038,0.0006180266601031199
togeth,0.0005323082074699228,0.0004500854901259775,0.0008617825400780795,0.0006147254125579933
shape,0.0005628421390647558,0.0004466032039354477,0.0008237118254561564,0.0006110523894854534
character,0.00032111518060566087,0.00023650527044014936,0.0012563335825234653,0.0006046513445230919
lack,0.00010228867084269072,7.602991515990078e-05,0.001619735858460005,0.0005993514814875322
object,0.0005638599367845836,0.0005145077846507789,0.0007164216297034637,0.0005982631170462755
chang,0.0004157703685496433,0.0003668008120691396,0.001003682476396157,0.0005954178856716466
