,The Online Plain Text English Dictionary,Webster's English Dictionary,WordNet,Dictionary Average,Open American National Corpus
s,0.11150134873363868,0.11128285901562363,0.10647096983457671,0.10975172586127968,0.06817611150405199
c,0.09282727157521227,0.09184382245614722,0.09876743431722348,0.09447950944952765,0.051846735274451064
p,0.09137896699675942,0.09125683594705382,0.08299545896853713,0.08854375397078346,0.0439377397693064
a,0.07036044680196245,0.07355919269788783,0.09114498864742135,0.07835487604909054,0.11181493005703416
d,0.06259391350000905,0.05887474686206795,0.0614255595199481,0.06096473996067503,0.031115399225380157
m,0.054401940728135124,0.055460442000841347,0.052262406746675316,0.05404159649188393,0.040080276442340856
t,0.051306189691692164,0.05276030405901171,0.042166720726565035,0.048744404825756295,0.1520166145010821
i,0.05001176747469993,0.047839400491112044,0.057249432371067145,0.05170020011229304,0.06926786376182693
b,0.049341926607165486,0.05010908165960652,0.04820791436912099,0.04921964087863099,0.04710078611681105
e,0.0483914767275558,0.046127356506256295,0.045572494323710674,0.04669710918584093,0.025767008847148245
r,0.04488839002842298,0.043789193578367594,0.0471942912747324,0.045290624960507654,0.02915263653111586
f,0.037927476148233975,0.03698015007288416,0.03653097632176452,0.03714620084762755,0.03890298672881775
h,0.03702228578670094,0.03730299265288553,0.03324683749594551,0.03585737197851066,0.04235943574711449
l,0.031038977496967612,0.030777659293463905,0.028097632176451507,0.029971422988961008,0.025811157211405363
g,0.03074026467766171,0.030445033604977644,0.02517839766461239,0.028787898649083914,0.018074156375345714
o,0.02892083205098032,0.029075398417093046,0.021691534219915667,0.02656258822932968,0.06098268740290809
u,0.022484928580480474,0.023694688750403554,0.04622121310411936,0.030800276811667793,0.012038707078362427
w,0.020366783134493183,0.022237005586154945,0.01719104768083036,0.019931612133826163,0.056968865285865256
n,0.018411571953581837,0.01891074870129235,0.023759325332468374,0.02036054866244752,0.02487392422853033
v,0.016302478411209877,0.01669976618370721,0.015285436263379824,0.016095893619432304,0.00661581633544663
k,0.00775748139833807,0.008276509778216931,0.0045815763866363934,0.006871855854397132,0.006086035964361233
j,0.007413509060955519,0.0073471144721523815,0.006973726889393448,0.0072447834741671165,0.007807822170388772
q,0.005820374024657385,0.005674202921236194,0.003892312682452157,0.0051289632094485785,0.0025881978545734484
z,0.0032043738798269274,0.004177387323048025,0.0018245215698994486,0.003068760924258134,0.00040009455108011734
y,0.002987128193059,0.0031697271491043563,0.0015812520272461888,0.002579369123136515,0.01066550899844837
x,0.0011495917591469486,0.0013598520793997085,0.00048653908530651963,0.0009986609746177255,0.00022718012440641145
