Word,The Online Plain Text English Dictionary,Webster's English Dictionary,WordNet,Average
of,0.06704742479365423,0.04979408080993334,0.0632423789351275,0.060027961512905036
a,0.05830657797577336,0.04727145465541037,0.061293850541296345,0.055623961057493364
the,0.05676919451997352,0.056806244435596856,0.04652241326799014,0.053365950741186836
or,0.04520497682729041,0.03223494288470267,0.06555777057895174,0.04766589676364827
to,0.049644101582319224,0.039473164922234745,0.031366807874408174,0.04016135812632071
in,0.01938802876499916,0.01890417096632281,0.023960323393415844,0.020750841041579274
and,0.013441036688045508,0.017003713277841167,0.015847800204889663,0.015430850056925446
as,0.01992288146676865,0.01520656341301191,0.007617603898441177,0.014249016259407247
an,0.009655846968006037,0.007658417904522677,0.013158623362959272,0.010157629411829329
by,0.009069086582525329,0.00826462589219074,0.011715397181382729,0.009683036552032932
with,0.007898110305863482,0.00743090854007473,0.010680565938477726,0.008669861594805312
be,0.006023835804800646,0.005513909992188071,0.007942935459755794,0.006493560418914837
is,0.005798393609858796,0.00791291498694723,0.004980341667358862,0.006230550088054963
for,0.005724094376311369,0.005656973916515671,0.006700445773458482,0.006027171355428507
that,0.0037409155192269622,0.004334575735661977,0.009666500539911953,0.00591399726493363
from,0.005435039823880283,0.005008688304045372,0.005620621867818479,0.005354783331914712
which,0.006995323728376251,0.006735031683000523,0.0019312235235484675,0.005220526311641747
who,0.003916994524757167,0.0028087540031781666,0.006624304344214636,0.004450017624049989
have,0.003992820454884335,0.0036262206864050386,0.005305673228673478,0.0043082381233209505
it,0.004187219819371439,0.005348211207622028,0.0029487498961707783,0.0041613936410547486
on,0.003465092337153637,0.003555124010015055,0.00453041504000886,0.0038502104623925177
not,0.00267019231796815,0.0029419514499659316,0.004931888030567323,0.0035146772661671347
at,0.0020452645179939,0.002378401468131858,0.0022877038513719303,0.002237123279165896
are,0.002008623800080101,0.0029904132661174713,0.0012286457900711576,0.0020758942854229097
into,0.0017470497860843641,0.0016181023165328502,0.002533433009386162,0.001966195037334459
etc,0.0023684152940392166,0.0021091046693975527,0.0008167898773430794,0.0017647699469266161
other,0.0016946332035132341,0.0016047535528024859,0.000989838580170003,0.0014297417788285743
some,0.001120086390670459,0.0012745167457339091,0.0012044189716753882,0.0011996740360265855
under,0.0011658872880627085,0.0018081771044326021,0.0004949192900850015,0.0011563278941934374
so,0.0012055813991359915,0.0015885028839133467,0.0006472021485726943,0.001147095477207344
same,0.0014880202663881971,0.0012454976941461608,0.0004741534457457707,0.0010692238020933763
out,0.0010259401015863905,0.0010824106242230149,0.0008929313065869258,0.0010004273441321105
more,0.0007155117970389211,0.00108066948112775,0.0010590580613007725,0.0009517464464891479
but,0.0008055868952436786,0.0014085847640693068,0.0005399119528200016,0.0009180278707109956
their,0.0006274722942738192,0.0013084690360915749,0.0007891020848907717,0.0009083478050853885
when,0.0007521525149527207,0.0011517661575177335,0.0006783509150815406,0.0008607565291839982
up,0.0008727615447523113,0.0009683657514831637,0.0007198826037600022,0.0008536699666651591
between,0.0007450279309139263,0.0007095158113204481,0.0010313702688484647,0.0008286380036942797
all,0.0005597887459052725,0.0013543191376002173,0.00046723149763269376,0.0007937797937127279
than,0.0005109344553535397,0.0006892024752090242,0.0010106044245092338,0.0007369137850239326
through,0.0005552086561660476,0.0006082393212792063,0.0009759946839438491,0.0007131475537963676
over,0.0006915935506229686,0.0006543796133037261,0.0007371874740426946,0.0006943868793231298
he,0.00042187715486860993,0.0015603544038732308,0.0001003682476396157,0.0006941999354604855
